Longitude,Latitude,Depth,Magnitude,Mag. Type,Year,Month,Day,Time
117.235,-9.166,66.6,5.8,mw,1970,1,9,23:16:22
116.412,-9.073,70.2,5.98,mw,1970,12,21,14:40:43
116.46,-9.203,70.5,5.62,mw,1970,12,24,1:49:56
114.594,-7.564,20,5.49,mw,1971,3,20,9:44:54
116.95,-10.988,26.9,6.38,mw,1972,5,28,1:55:22
117.265,-11.039,15,5.41,mw,1972,8,17,17:29:51
117.427,-9.854,66,5.5,mb,1973,1,2,0:53:20
117.381,-8.267,162,5.7,mb,1973,3,20,19:09:06
117.107,-10.246,33,5.5,mb,1973,7,16,5:42:47
117.22,-10.149,33,5.1,mb,1973,7,16,8:41:24
115.36,-8.745,92,5.6,mb,1973,10,2,12:23:23
114.717,-11.665,28,4.9,mb,1973,12,28,3:13:38
117.284,-8.937,33,4.8,mb,1973,12,29,15:41:15
117.496,-7.754,257,5.6,mb,1974,1,17,12:52:25
117.849,-8.17,33,5.6,mb,1974,4,26,12:20:00
116.365,-9.796,33,4.9,mb,1975,2,7,16:50:19
114.577,-9.331,89,5.3,mb,1975,2,20,22:32:50
117.63,-9.193,67,4.9,mb,1975,6,28,11:20:30
117.869,-8.735,6,4.9,mb,1975,7,4,6:07:37
117.185,-9.676,52,5.5,mb,1975,7,31,15:17:38
115.07,-7.978,196,5.9,mb,1975,12,28,15:24:50
117.34,-8.545,153,4.2,mb,1976,1,30,16:01:32
117.073,-9.988,52,4.8,mb,1976,2,11,7:09:31
117.408,-10.045,32,5.3,mb,1976,3,6,17:24:57
114.888,-8.17,40,6.5,ms,1976,7,14,7:13:24
114.862,-8.127,33,5.9,mb,1976,7,14,10:23:45
117.355,-7.689,335,5.2,mb,1976,9,5,4:39:20
115.193,-8.219,33,5.2,mb,1977,1,26,13:11:29
117.176,-8.303,161,5.3,mb,1977,3,13,5:24:07
116.799,-11.041,33,4.6,mb,1977,3,20,19:08:27
114.82,-11.251,51,5.2,mb,1977,6,27,3:04:39
117.412,-10.192,33,5.5,mb,1977,8,19,7:38:05
117.721,-11.458,33,5,mb,1977,8,19,12:21:11
117.858,-11.585,33,5.1,mb,1977,8,21,12:28:44
116.32,-11.324,33,5.2,mb,1977,8,22,17:44:19
116.457,-11.259,33,4.9,mb,1977,8,22,20:55:15
117.799,-10.12,33,4.6,mb,1977,8,23,1:14:04
117.664,-11.394,33,5.7,mb,1977,8,23,10:24:12
117.599,-11.495,33,4.6,mb,1977,8,25,22:20:36
117.869,-11.433,33,5.3,mb,1977,8,26,1:41:40
117.717,-9.913,33,5,mb,1977,8,30,12:58:56
115.516,-10.07,33,5.1,mb,1977,9,7,2:44:26
116.863,-11.298,33,5.1,mb,1977,9,7,11:39:11
117.448,-10.402,33,5.1,ms,1977,9,15,11:13:24
117.643,-10.468,33,5.2,mb,1977,9,16,12:22:50
117.865,-11.482,33,4.6,mb,1977,9,16,18:11:34
117.823,-10.035,33,4.7,mb,1977,9,20,21:55:42
117.231,-10.352,33,4.9,mb,1977,9,24,3:49:33
117.245,-11.298,33,5.6,mb,1977,9,25,18:31:39
117.744,-11.234,33,4.7,mb,1977,9,27,21:39:15
117.497,-10.078,33,5.6,mb,1977,10,1,12:52:31
117.605,-10.113,24,5.2,mb,1977,10,1,13:37:25
117.497,-10.186,19,5.4,mb,1977,10,1,20:02:40
117.383,-11.483,33,5.5,mb,1977,10,5,18:04:11
117.167,-11.191,33,5.6,mb,1977,10,5,18:51:10
117.327,-9.965,33,5.7,mb,1977,10,7,4:45:43
117.656,-10.081,33,5.6,mb,1977,10,7,5:39:36
117.417,-9.828,33,5,mb,1977,10,7,6:24:02
117.299,-9.91,33,5.4,mb,1977,10,7,8:30:56
117.379,-10.09,33,5.1,mb,1977,10,7,10:50:38
117.319,-9.952,33,6.3,ms,1977,10,7,12:10:43
117.292,-9.875,33,5.2,mb,1977,10,7,12:23:05
117.566,-9.972,33,5,mb,1977,10,7,16:05:13
117.311,-9.844,33,5.2,mb,1977,10,7,16:50:49
117.318,-9.932,33,5.6,ms,1977,10,7,17:01:13
117.262,-9.845,33,5.8,ms,1977,10,7,17:36:46
117.128,-9.858,33,5.3,mb,1977,10,7,17:58:21
117.158,-10.008,33,5.7,mb,1977,10,7,19:04:16
117.254,-9.828,33,5.4,mb,1977,10,7,19:10:04
117.514,-10.014,33,5.1,mb,1977,10,7,21:26:14
117.29,-9.916,33,5.8,mb,1977,10,7,21:36:11
117.38,-9.893,33,5.7,ms,1977,10,7,22:47:03
117.146,-9.998,33,5.5,mb,1977,10,7,23:23:46
117.195,-10.079,33,5.4,mb,1977,10,8,1:58:54
117.5,-9.995,33,5,mb,1977,10,8,4:34:05
117.599,-10.321,33,5,mb,1977,10,8,6:55:59
117.36,-9.815,33,5.4,mb,1977,10,8,10:52:32
117.344,-9.945,33,5.4,mb,1977,10,8,18:08:23
117.428,-9.963,33,5.2,mb,1977,10,8,18:59:47
117.303,-10.019,33,5.2,mb,1977,10,8,19:30:01
117.493,-9.945,33,4.9,mb,1977,10,9,0:54:17
117.29,-9.925,33,5.6,mb,1977,10,9,10:03:21
117.376,-10.162,33,5.3,mb,1977,10,9,12:16:56
117.51,-9.995,33,5.6,mb,1977,10,9,16:57:04
117.465,-9.992,33,5.1,mb,1977,10,11,2:04:35
117.541,-9.263,33,4.6,mb,1977,10,14,4:24:50
117.118,-9.733,33,5.8,ms,1977,10,16,21:09:17
117.155,-9.752,33,5.5,mb,1977,10,16,21:22:08
117.596,-9.987,33,5,mb,1977,10,16,23:13:01
117.107,-9.729,33,5,mb,1977,10,17,9:53:35
117.098,-9.776,33,5.3,ms,1977,10,20,11:35:23
117.667,-10.402,33,5.7,mb,1977,10,21,11:48:34
117.221,-9.693,33,5.6,mb,1977,10,25,6:50:44
117.526,-10.447,39,5,mb,1977,10,31,18:56:34
117.369,-10.015,33,4.9,mb,1977,11,4,16:02:34
117.369,-10.229,33,4.9,mb,1977,11,4,16:55:12
116.965,-11.451,33,5.3,mb,1977,11,14,17:58:34
117.436,-10.125,33,4.9,mb,1977,11,19,17:33:28
116.205,-11.671,33,5.1,mb,1977,11,30,13:57:06
117.685,-7.838,33,5.6,mb,1977,12,20,11:31:34
117.622,-8.343,33,5.1,mb,1977,12,22,18:13:06
117.608,-10.726,33,4.9,mb,1977,12,23,10:25:17
114.53,-8.684,123,5.1,mb,1978,2,3,11:03:52
117.114,-9.662,33,5.6,mb,1978,2,25,6:10:35
117.578,-9.524,33,4.7,mb,1978,2,25,7:48:11
117.096,-10.131,39,5,mb,1978,2,25,7:54:53
117.188,-9.999,33,4.7,mb,1978,2,25,8:42:46
117.229,-9.767,33,5.1,mb,1978,2,25,14:12:04
116.411,-9.622,94,5.4,mb,1978,3,15,14:46:23
117.54,-10.248,33,4.8,mb,1978,4,3,15:12:39
116.685,-11.36,33,6.7,mb,1978,4,10,20:52:18
117.023,-10.242,35,5.5,mb,1978,5,4,18:11:43
117.518,-9.5,33,4.8,mb,1978,6,4,18:24:49
117.5,-10.667,33,4.7,mb,1978,6,7,8:15:58
117.721,-11.647,33,5.3,mb,1978,7,18,21:48:20
117.727,-8.137,33,5.4,mb,1978,7,26,20:58:23
116.77,-11.522,33,4.1,mb,1978,12,8,22:01:08
117.661,-10.813,33,4.1,mb,1978,12,19,1:40:18
117.369,-7.701,291,4.6,mb,1978,12,26,5:14:49
116.865,-11.605,27,3.8,mb,1979,3,7,4:36:22
116.902,-11.334,25,5.3,mb,1979,3,28,16:16:47
117.017,-11.669,33,4.8,mb,1979,3,29,3:02:35
115.934,-8.299,76,5.7,mb,1979,5,21,16:31:05
115.949,-8.207,25,6.1,mb,1979,5,30,9:38:52
116.103,-8.345,33,4.9,mb,1979,6,16,0:56:14
116.183,-8.257,33,4.7,mb,1979,6,20,22:40:08
115.901,-8.449,33,5.1,mb,1979,6,21,9:45:15
116.776,-10.538,38,5,mb,1979,6,26,21:35:01
117.795,-11.362,33,4.2,mb,1979,6,27,17:46:06
117.784,-10.219,33,5,mb,1979,8,2,22:11:02
117.519,-10.252,33,4.3,mb,1979,8,19,10:15:52
117.836,-11.598,33,4.7,mb,1979,8,25,12:34:17
117.261,-10.782,33,4,mb,1979,10,10,9:40:06
117.575,-11.404,33,3.7,mb,1979,10,15,20:43:08
115.847,-8.254,38,6.2,ms,1979,10,20,1:41:10
115.94,-8.253,33,3.2,mb,1979,11,3,11:36:56
116.099,-11.492,33,3.4,mb,1979,11,9,20:57:29
115.889,-8.39,33,6.3,ms,1979,12,17,19:58:23
116.135,-8.208,33,4.8,mb,1980,1,18,8:40:57
116.096,-8.442,33,5.2,mb,1980,1,21,16:29:20
116.181,-8.133,33,4.9,mb,1980,1,21,17:18:22
116.155,-8.27,33,4.7,mb,1980,1,21,22:26:07
117.6,-11.019,33,4.5,mb,1980,2,14,20:15:06
116.347,-8.239,33,5.1,mb,1980,3,4,14:17:31
116.357,-8.158,33,5.1,ms,1980,3,4,14:28:37
116.358,-10.533,33,4.6,mb,1980,3,6,22:45:29
115.345,-9.645,33,4.6,mb,1980,3,11,9:42:00
117.757,-9.429,33,3.6,mb,1980,3,29,22:18:05
117.52,-10.102,47,4.6,mb,1980,4,21,15:03:07
117.489,-11.656,33,4.6,mb,1980,6,20,12:11:17
117.463,-9.708,34,4.5,mb,1980,8,7,16:43:19
116.662,-10.634,40,5.2,mb,1980,8,28,3:11:40
117.571,-11.377,33,5.7,mb,1980,10,5,17:18:41
116.341,-10.578,33,3.3,mb,1980,10,13,6:10:34
116.757,-11.59,33,5,mb,1980,11,16,5:34:50
117.459,-11.494,33,4.9,mb,1980,11,21,1:04:48
114.715,-11.147,33,4.4,mb,1980,11,27,17:58:52
116.195,-8.242,33,4.6,mb,1981,1,21,9:24:10
117.314,-11.139,33,5.6,mb,1981,2,1,4:35:25
116.863,-11.468,33,5.2,mb,1981,2,5,20:26:31
117.076,-11.534,33,4.2,mb,1981,4,12,23:53:19
117.722,-11.39,33,4.4,mb,1981,4,20,7:03:40
117.403,-11.242,33,3.3,mb,1981,6,14,5:47:02
117.459,-11.442,33,4.2,mb,1981,8,12,10:29:44
116.016,-8.312,149.1,4.9,mb,1981,9,1,6:52:07
115.862,-8.301,33,4.2,mb,1981,9,2,20:31:01
116.058,-8.667,33,4.2,mb,1981,10,6,20:01:59
116.845,-10.274,33,5.1,mb,1981,10,17,15:43:04
115.342,-8.369,33,4.3,mb,1981,10,23,15:21:44
117.5,-7.782,301.9,4.5,mb,1981,10,31,23:49:14
115.087,-8.667,124.9,4.6,mb,1981,12,4,20:38:25
117.228,-9.254,33,4.7,mb,1981,12,7,2:53:12
117.506,-9.643,33,4.1,mb,1981,12,30,16:01:19
114.758,-10.674,33,3.7,mb,1981,12,30,22:01:06
117.634,-11.592,33,3.4,mb,1982,1,12,11:44:03
116.833,-8.403,33,4.2,mb,1982,2,21,11:25:54
117.26,-11.348,17,5.6,mb,1982,2,28,17:52:19
117.318,-8.255,33,4.9,mb,1982,3,5,7:45:59
117.739,-11.006,33,3.9,mb,1982,4,13,0:55:24
117.513,-11.47,33,4.2,mb,1982,4,16,9:00:29
117.724,-11.584,33,3.2,mb,1982,4,18,17:39:01
116.009,-8.201,33,3.9,mb,1982,4,22,20:46:09
115.519,-11.171,33,4.6,mb,1982,5,26,4:12:42
115.696,-10.918,33,4.9,mb,1982,6,26,21:15:10
115.236,-8.426,139.3,5.1,mb,1982,7,13,5:46:43
115.418,-11.143,33,6.4,mw,1982,8,7,20:56:22
115.317,-11.106,33,4,mb,1982,8,11,22:55:13
115.004,-11.619,33,4,mb,1982,8,18,17:41:38
117.463,-9.828,33,4.7,mb,1982,10,7,8:39:24
117.594,-8.166,206.8,4.8,mb,1982,10,12,9:25:39
117.67,-10.201,33,3.9,mb,1982,10,22,13:21:01
115.868,-8.267,33,4.4,mb,1982,10,28,3:28:22
117.693,-11.659,33,5.1,mb,1982,10,31,0:36:58
116.914,-7.62,322.3,5.5,mb,1982,12,1,1:12:05
115.068,-10.683,33,4.5,mb,1982,12,13,23:02:35
116.775,-9.542,33,4.4,mb,1982,12,25,1:54:09
117.548,-7.894,270.3,4.2,mb,1983,2,12,10:18:05
114.588,-11.551,33,4.2,mb,1983,2,15,11:29:47
115.564,-11.212,33,5,mb,1983,2,26,16:00:14
115.036,-10.733,33,5.3,ms,1983,3,5,8:57:04
114.866,-10.979,33,4.7,mb,1983,3,10,5:31:12
117.442,-7.882,18,4.7,mb,1983,3,21,23:32:17
117.577,-7.886,235.6,4.5,mb,1983,4,20,16:55:24
114.675,-11.444,72.7,4.8,mb,1983,4,25,23:58:50
117.046,-7.66,286.9,4.1,mb,1983,6,17,21:31:26
116.955,-11.576,33,3.2,mb,1983,6,23,17:35:29
117.563,-8.53,156.2,5.5,mb,1983,8,20,6:19:30
116.904,-10.453,33,4.7,mb,1983,9,25,3:09:58
115.371,-11.177,33,5.6,mb,1983,9,29,2:06:20
116.967,-10.394,33,5.2,mb,1983,9,30,23:11:22
115.138,-8.885,182.3,4.3,mb,1983,10,15,18:52:38
115.2,-11.527,9.1,5.4,mb,1983,10,18,2:49:30
114.792,-11.338,33,4.8,mb,1983,11,14,15:38:09
115.325,-11.285,33,5.4,mb,1983,11,15,10:38:52
117.181,-8.541,33,4.9,mb,1983,11,25,17:55:09
117.31,-7.715,33,3.9,mb,1983,11,28,20:55:16
115.222,-9.47,33,5,mb,1983,12,1,1:41:41
116.954,-11.393,33,5.3,mb,1984,1,16,9:32:11
117.389,-7.705,296.3,5.5,mw,1984,1,17,2:09:04
115.056,-9.903,33,5.3,mw,1984,2,2,11:30:33
115.196,-9.813,56.5,4.9,mb,1984,2,3,8:33:36
117.313,-9.438,84,4.4,mb,1984,2,3,19:18:19
117.36,-10.753,33,4.7,mb,1984,2,20,16:23:05
117.198,-11.513,33,4.9,mb,1984,4,5,19:41:05
117.712,-8.337,184.2,4.5,mb,1984,5,15,9:40:06
117.659,-9.381,33,5.1,mb,1984,7,18,3:42:21
114.759,-7.85,38.4,5.1,mb,1984,8,3,22:41:16
117.713,-8.369,33,4.7,mb,1984,8,11,0:07:00
117.183,-11.504,33,5.2,mb,1984,8,21,17:50:42
117.374,-9.85,33,3.3,mb,1984,8,26,17:17:05
117.637,-11.607,33,3.4,mb,1984,8,26,21:57:35
117.489,-10.678,33,4.9,mb,1984,8,27,10:42:33
116.675,-11.528,33,4.4,mb,1984,9,3,0:11:23
117.426,-11.667,33,4.6,mb,1984,9,20,10:19:28
117.521,-9.292,148.2,4.9,mb,1984,9,23,22:53:46
117.514,-11.515,33,3.3,mb,1984,10,7,2:24:54
116.939,-7.716,304.9,4.6,mb,1984,10,24,13:45:45
116.663,-9.419,33,5,mb,1984,12,9,20:32:48
116.339,-9.518,187,4.6,mb,1984,12,9,22:12:06
117.203,-11.379,33,4.5,mb,1984,12,15,6:24:25
117.695,-11.657,33,4.9,mb,1984,12,15,7:18:20
115.836,-8.119,33,4.8,mb,1985,1,2,9:28:10
117.312,-11.044,33,4,mb,1985,1,3,11:45:09
117.526,-10.326,33,5.1,mb,1985,1,3,13:10:02
117.681,-10.317,33,5,mb,1985,1,3,15:01:53
117.242,-11.54,33,4.4,mb,1985,1,20,17:31:27
114.969,-10.563,33,5.3,mb,1985,2,2,4:30:30
115.752,-8.536,33,5.2,mb,1985,2,16,8:43:56
117.381,-10.142,33,4.6,mb,1985,2,16,15:25:50
114.392,-11.279,33,4.6,mb,1985,3,19,7:50:20
116.998,-11.51,33,5,mb,1985,4,23,17:59:03
116.753,-9.018,33,4.2,mb,1985,5,1,9:35:53
115.134,-8.657,127.5,4.8,mb,1985,5,4,22:19:33
117.5,-11.649,33,3.8,mb,1985,5,25,18:04:34
117.73,-11.585,33,5.1,mb,1985,6,3,22:49:51
115.547,-9.809,33,4.2,mb,1985,6,21,6:53:00
117.845,-8.113,33,3.8,mb,1985,6,27,1:24:54
117.67,-9.725,85.6,5.5,mw,1985,7,6,14:37:28
114.84,-9.676,114.6,4.8,mb,1985,7,12,8:49:52
117.283,-10.789,33,5,mb,1985,7,19,10:18:27
117.791,-11.462,33,5.3,mb,1985,7,25,3:38:49
117.815,-9.671,75.4,5.1,mb,1985,8,7,16:06:21
117.585,-8.519,157.5,4.3,mb,1985,8,17,7:07:16
115.913,-9.197,33,3.9,mb,1985,8,17,17:49:05
115.964,-9.885,33,4.3,mb,1985,8,20,22:53:52
117.611,-9.22,33,4.6,mb,1985,8,27,9:29:58
115.685,-8.72,33,4.8,mb,1985,9,14,19:38:19
114.799,-11.555,33,5.2,mb,1985,10,1,19:09:09
117.751,-9.681,33,4.9,mb,1985,10,22,21:47:14
116.826,-11.602,33,4.3,mb,1985,10,29,18:32:43
117.335,-11.56,33,4.4,mb,1985,11,29,17:28:09
117.509,-8.771,33,3.2,mb,1985,12,4,1:18:27
117.155,-8.655,33,4.6,mb,1986,1,3,21:04:14
117.497,-7.848,268.3,3.9,mb,1986,2,1,20:55:37
117.478,-11.615,33,4.3,mb,1986,2,3,6:20:41
117.881,-11.31,33,3.9,mb,1986,2,9,11:39:43
117.328,-11.496,33,3.8,mb,1986,4,16,12:01:10
114.986,-8.983,161.4,3.7,mb,1986,4,30,11:03:01
116.526,-10.529,33,5.1,mb,1986,5,1,11:13:16
116.404,-10.518,33,4.1,mb,1986,5,6,19:16:53
116.337,-10.46,33,4.9,mb,1986,5,6,19:28:55
117.687,-8.182,33,4.8,mb,1986,5,26,17:14:06
116.255,-8.841,119.9,5,mb,1986,5,28,1:45:04
116.583,-10.151,47.2,4.9,mb,1986,6,5,10:08:03
116.796,-10.243,33,4.5,mb,1986,6,5,10:28:39
115.98,-7.727,247.4,4.7,mb,1986,6,13,15:08:24
116.424,-7.659,170.9,4.8,mb,1986,6,30,6:06:19
116.61,-9.466,72.7,4.6,mb,1986,9,18,11:59:34
117.49,-9.445,71.8,4.6,mb,1986,10,31,16:40:49
117.547,-11.578,10,4.2,mb,1986,11,9,8:27:39
117.552,-9.916,33,3.3,mb,1986,11,27,15:53:39
117.441,-10.691,33,3.5,mb,1986,12,20,0:09:47
115.341,-8.43,33,4.3,mb,1986,12,22,20:11:36
114.773,-9.36,33,3.5,mb,1986,12,29,3:52:11
117.843,-8.536,72.5,4.7,mb,1987,1,8,19:41:53
117.457,-11.461,33,5.3,mb,1987,2,13,19:54:16
116.98,-7.679,305.1,5.4,mb,1987,2,25,14:37:05
116.95,-8.837,33,4.1,mb,1987,3,17,23:46:18
114.626,-8.837,33,3.9,mb,1987,3,29,4:19:18
116.675,-8.353,10,5,mb,1987,4,2,11:23:16
116.753,-8.429,33,4.5,mb,1987,4,2,11:42:49
116.646,-8.379,33,3.6,mb,1987,4,2,18:32:37
117.387,-11.672,33,4.6,mb,1987,4,4,17:41:56
117.516,-11.572,33,4.9,mb,1987,4,13,10:34:57
116.352,-8.324,180.2,4.8,mb,1987,4,21,14:12:03
115.997,-7.737,42.4,5.3,mb,1987,5,10,0:37:10
117.515,-11.496,33,4.1,mb,1987,5,28,17:38:47
117.197,-9.832,33,3.8,mb,1987,8,17,5:26:28
117.563,-11.503,33,4.5,mb,1987,8,30,1:11:57
117.185,-11.655,33,3.7,mb,1987,9,16,21:42:02
116.362,-11.561,33,4.3,mb,1987,10,1,0:06:29
117.868,-10.289,33,3.4,mb,1987,10,11,7:43:28
114.556,-9.656,84.6,4.9,mb,1987,11,22,6:29:21
114.61,-9.169,46,6,mw,1987,12,17,20:22:58
116.555,-10.141,33,4.2,mb,1987,12,28,22:15:54
117.869,-11.639,33,4.4,mb,1987,12,29,1:10:02
114.793,-11.478,33,5,mb,1988,1,28,10:40:15
117.296,-8.475,33,4,mb,1988,1,29,11:02:12
117.6,-9.521,33,4.5,mb,1988,2,2,4:29:17
117.289,-10.729,49.2,3.2,mb,1988,2,17,12:18:45
116.742,-9.152,150,4.7,mb,1988,2,26,18:38:12
115.185,-8.61,122.3,4.2,mb,1988,3,28,0:05:05
117.646,-8.784,112.7,4.9,mb,1988,4,5,23:28:17
117.498,-8.823,106.9,5.7,mw,1988,4,8,11:20:51
117.402,-11.593,33,4.8,mb,1988,4,9,17:56:34
116.274,-11.125,40.9,5.5,mw,1988,5,11,17:27:58
116.34,-11.534,33,5.3,mb,1988,5,12,19:47:06
116.098,-11.521,33,5,mb,1988,5,12,20:28:24
117.204,-9.144,96.3,4.8,mb,1988,5,14,17:44:01
117.601,-11.52,33,3.6,mb,1988,5,15,22:37:36
116.173,-11.518,38.1,5.5,mb,1988,6,3,17:41:59
117.252,-11.614,33,4.5,mb,1988,8,5,1:35:37
117.355,-9.467,66.9,5.4,mw,1988,8,15,14:25:24
117.271,-9.985,33,4.5,mb,1988,8,24,4:41:08
116.935,-10.572,33,3.9,mb,1988,10,10,11:50:39
117.071,-10.436,38.6,4.6,mb,1988,10,10,20:50:57
115.976,-7.703,245.2,4.4,mb,1988,10,26,5:58:35
115.331,-7.411,250.7,5,mb,1988,10,30,7:58:55
116.181,-10.383,66.5,4.9,mb,1988,11,16,16:39:39
116.02,-8.228,33,5.1,mb,1988,11,23,5:22:26
116.483,-8.683,117.2,4.4,mb,1988,11,24,20:54:17
115.967,-8.377,33,4.6,mb,1988,11,26,6:35:05
117.379,-11.481,33,4.2,mb,1989,1,8,10:31:42
116.727,-7.895,277.4,4.3,mb,1989,1,10,23:13:05
117.372,-11.543,33,4.8,mb,1989,1,19,10:43:40
115.355,-7.961,228.8,4.7,mb,1989,1,31,16:40:28
117.435,-8.073,213.5,4.8,mb,1989,2,15,3:27:57
116.116,-8.308,172.1,4.4,mb,1989,2,19,21:43:28
117.268,-9.573,33,4.6,mb,1989,2,22,8:25:20
117.448,-8.034,21.4,4.2,mb,1989,2,25,21:50:19
116.29,-8.261,167.7,4.4,mb,1989,3,22,19:14:28
117.06,-7.993,218.9,4.2,mb,1989,3,27,2:22:31
115.512,-8.966,33,4.7,mb,1989,4,22,6:19:37
114.634,-8.489,141.1,4.9,mb,1989,5,19,19:37:45
117.517,-7.865,245.2,5.7,mw,1989,6,9,15:34:11
117.581,-8.112,242,4.6,mb,1989,6,9,16:38:13
116.14,-10.076,55.1,4.9,mb,1989,6,21,0:43:47
117.777,-8.808,33,4.6,mb,1989,7,10,0:22:44
